date,qqq_close,qld_close,sma200,ema50,ema200,distance_to_sma200_pct,distance_to_ema200_pct,qqq_vol20_annualized_pct,qqq_prior_20d_high,qld_prior_20d_high,qld_prior_20d_low,macd,macd_signal,macd_histogram,model_state,headline_status,action,rule_explanation,qqq_weight_pct,qld_weight_pct,strategy_daily_return_pct,strategy_value,qqq_benchmark_value,strategy_drawdown_pct,qqq_drawdown_pct
2006-06-21,33.07,0.98,34.63,33.88,34.28,-4.48,-3.52,21.4,33.96,,,-0.46,-0.56,0.1,Cash,Hold Cash,Waiting,Waiting for enough QQQ and QLD history to calculate all indicators.,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0
2006-06-22,32.65,0.96,34.62,33.83,34.27,-5.68,-4.7,21.72,33.96,,,-0.43,-0.53,0.1,Cash,Hold Cash,Waiting,Waiting for enough QQQ and QLD history to calculate all indicators.,0.0,0.0,0.0,1000.0,987.33,0.0,-1.27
2006-06-23,32.62,0.96,34.62,33.78,34.25,-5.77,-4.76,21.1,33.96,,,-0.41,-0.51,0.1,Cash,Hold Cash,Waiting,Waiting for enough QQQ and QLD history to calculate all indicators.,0.0,0.0,0.0,1000.0,986.3,0.0,-1.37
2006-06-26,32.71,0.96,34.61,33.74,34.23,-5.51,-4.46,21.08,33.96,,,-0.38,-0.48,0.1,Cash,Hold Cash,Waiting,Waiting for enough QQQ and QLD history to calculate all indicators.,0.0,0.0,0.0,1000.0,988.88,0.0,-1.11
2006-06-27,32.09,0.92,34.6,33.67,34.21,-7.27,-6.2,20.75,33.96,,,-0.41,-0.47,0.06,Cash,Hold Cash,Waiting,Waiting for enough QQQ and QLD history to calculate all indicators.,0.0,0.0,0.0,1000.0,970.27,0.0,-2.97
2006-06-28,32.33,0.94,34.6,33.62,34.19,-6.55,-5.45,20.88,33.96,,,-0.4,-0.45,0.05,Cash,Hold Cash,Waiting,Waiting for enough QQQ and QLD history to calculate all indicators.,0.0,0.0,0.0,1000.0,977.51,0.0,-2.25
2006-06-29,33.31,0.99,34.59,33.61,34.18,-3.7,-2.55,22.01,33.96,,,-0.31,-0.43,0.11,Cash,Hold Cash,Waiting,Waiting for enough QQQ and QLD history to calculate all indicators.,0.0,0.0,0.0,1000.0,1007.24,0.0,0.0
2006-06-30,33.15,0.98,34.59,33.59,34.17,-4.17,-3.0,22.04,33.87,,,-0.25,-0.39,0.14,Cash,Hold Cash,Waiting,Waiting for enough QQQ and QLD history to calculate all indicators.,0.0,0.0,0.0,1000.0,1002.33,0.0,-0.49
2006-07-03,33.35,0.99,34.59,33.58,34.17,-3.6,-2.4,20.73,33.31,,,-0.19,-0.35,0.16,Cash,Hold Cash,Waiting,Waiting for enough QQQ and QLD history to calculate all indicators.,0.0,0.0,0.0,1000.0,1008.27,0.0,0.0
2006-07-05,32.62,0.96,34.59,33.54,34.15,-5.69,-4.48,22.2,33.35,,,-0.19,-0.32,0.13,Cash,Hold Cash,Waiting,Waiting for enough QQQ and QLD history to calculate all indicators.,0.0,0.0,0.0,1000.0,986.3,0.0,-2.18
2006-07-06,32.59,0.95,34.59,33.51,34.14,-5.78,-4.54,22.05,33.35,,,-0.2,-0.29,0.1,Cash,Hold Cash,Waiting,Waiting for enough QQQ and QLD history to calculate all indicators.,0.0,0.0,0.0,1000.0,985.26,0.0,-2.28
2006-07-07,32.23,0.93,34.58,33.46,34.12,-6.81,-5.54,22.37,33.35,,,-0.23,-0.28,0.05,Cash,Hold Cash,Waiting,Waiting for enough QQQ and QLD history to calculate all indicators.,0.0,0.0,0.0,1000.0,974.41,0.0,-3.36
2006-07-10,31.94,0.91,34.58,33.4,34.09,-7.61,-6.31,22.46,33.35,,,-0.27,-0.28,0.01,Cash,Hold Cash,Waiting,Waiting for enough QQQ and QLD history to calculate all indicators.,0.0,0.0,0.0,1000.0,965.87,0.0,-4.21
2006-07-11,32.18,0.93,34.57,33.35,34.08,-6.91,-5.55,21.5,33.35,,,-0.28,-0.28,0.0,Cash,Hold Cash,Waiting,Waiting for enough QQQ and QLD history to calculate all indicators.,0.0,0.0,0.0,1000.0,973.11,0.0,-3.49
2006-07-12,31.58,0.89,34.57,33.28,34.05,-8.65,-7.27,22.54,33.35,,,-0.34,-0.29,-0.05,Cash,Hold Cash,Waiting,Waiting for enough QQQ and QLD history to calculate all indicators.,0.0,0.0,0.0,1000.0,954.76,0.0,-5.31
2006-07-13,31.05,0.86,34.56,33.19,34.02,-10.15,-8.74,22.91,33.35,,,-0.42,-0.32,-0.1,Cash,Hold Cash,Waiting,Waiting for enough QQQ and QLD history to calculate all indicators.,0.0,0.0,0.0,1000.0,938.73,0.0,-6.9
2006-07-14,30.73,0.85,34.54,33.1,33.99,-11.04,-9.58,20.43,33.35,,,-0.5,-0.35,-0.15,Cash,Hold Cash,Waiting,Waiting for enough QQQ and QLD history to calculate all indicators.,0.0,0.0,0.0,1000.0,929.16,0.0,-7.85
2006-07-17,30.81,0.85,34.53,33.01,33.96,-10.79,-9.27,20.49,33.35,,,-0.56,-0.39,-0.16,Cash,Hold Cash,Waiting,Waiting for enough QQQ and QLD history to calculate all indicators.,0.0,0.0,0.0,1000.0,931.49,0.0,-7.62
2006-07-18,30.91,0.85,34.52,32.92,33.93,-10.46,-8.89,20.52,33.35,,,-0.58,-0.43,-0.15,Cash,Hold Cash,Waiting,Waiting for enough QQQ and QLD history to calculate all indicators.,0.0,0.0,0.0,1000.0,934.59,0.0,-7.31
2006-07-19,31.31,0.87,34.51,32.86,33.9,-9.27,-7.64,21.21,33.35,,,-0.57,-0.46,-0.11,Cash,Hold Cash,Waiting,Waiting for enough QQQ and QLD history to calculate all indicators.,0.0,0.0,0.0,1000.0,946.74,0.0,-6.1
2006-07-20,30.85,0.85,34.5,32.78,33.87,-10.57,-8.92,20.61,33.35,0.99,0.85,-0.58,-0.48,-0.1,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,932.78,0.0,-7.49
2006-07-21,30.53,0.83,34.48,32.69,33.84,-11.47,-9.79,20.5,33.35,0.99,0.85,-0.62,-0.51,-0.11,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,922.96,0.0,-8.46
2006-07-24,31.13,0.86,34.47,32.63,33.81,-9.69,-7.92,22.07,33.35,0.99,0.83,-0.59,-0.53,-0.06,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,941.31,0.0,-6.64
2006-07-25,31.31,0.87,34.47,32.58,33.79,-9.15,-7.32,22.19,33.35,0.99,0.83,-0.54,-0.53,-0.01,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,946.74,0.0,-6.1
2006-07-26,31.29,0.87,34.46,32.53,33.76,-9.2,-7.33,21.28,33.35,0.99,0.83,-0.5,-0.52,0.02,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,945.97,0.0,-6.18
2006-07-27,31.08,0.86,34.45,32.47,33.73,-9.78,-7.86,21.1,33.35,0.99,0.83,-0.48,-0.52,0.03,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,939.76,0.0,-6.79
2006-07-28,31.73,0.9,34.45,32.44,33.71,-7.89,-5.88,19.43,33.35,0.99,0.83,-0.41,-0.49,0.08,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,959.41,0.0,-4.85
2006-07-31,31.72,0.89,34.45,32.42,33.69,-7.91,-5.85,19.43,33.35,0.99,0.83,-0.35,-0.47,0.12,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,959.15,0.0,-4.87
2006-08-01,31.19,0.86,34.44,32.37,33.67,-9.44,-7.36,19.84,33.35,0.99,0.83,-0.34,-0.44,0.1,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,943.12,0.0,-6.46
2006-08-02,31.54,0.88,34.44,32.34,33.65,-8.41,-6.26,19.18,32.62,0.96,0.83,-0.3,-0.41,0.11,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,953.72,0.0,-5.41
2006-08-03,31.74,0.89,34.43,32.31,33.63,-7.82,-5.62,19.38,32.59,0.95,0.83,-0.25,-0.38,0.13,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,959.67,0.0,-4.82
2006-08-04,31.59,0.89,34.43,32.28,33.61,-8.24,-5.99,19.09,32.23,0.93,0.83,-0.22,-0.35,0.13,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,955.27,0.0,-5.26
2006-08-07,31.39,0.88,34.42,32.25,33.59,-8.81,-6.54,18.98,32.18,0.93,0.83,-0.21,-0.32,0.11,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,949.07,0.0,-5.87
2006-08-08,31.19,0.86,34.42,32.21,33.56,-9.37,-7.06,18.8,32.18,0.93,0.83,-0.22,-0.3,0.08,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,943.12,0.0,-6.46
2006-08-09,31.24,0.86,34.41,32.17,33.54,-9.22,-6.87,17.65,31.74,0.9,0.83,-0.21,-0.28,0.07,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,944.42,0.0,-6.33
2006-08-10,31.46,0.88,34.4,32.14,33.52,-8.55,-6.15,16.73,31.74,0.9,0.83,-0.19,-0.26,0.07,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,951.14,0.0,-5.67
2006-08-11,31.24,0.87,34.39,32.11,33.5,-9.17,-6.75,16.49,31.74,0.9,0.83,-0.19,-0.25,0.06,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,944.42,0.0,-6.33
2006-08-14,31.44,0.87,34.38,32.08,33.48,-8.55,-6.08,16.61,31.74,0.9,0.83,-0.17,-0.23,0.06,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,950.62,0.0,-5.72
2006-08-15,32.24,0.92,34.38,32.09,33.46,-6.24,-3.67,18.66,31.74,0.9,0.83,-0.09,-0.21,0.11,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,974.66,0.0,-3.33
2006-08-16,33.0,0.96,34.38,32.12,33.46,-4.03,-1.38,19.79,32.24,0.92,0.83,0.03,-0.16,0.19,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,997.67,0.0,-1.05
2006-08-17,33.12,0.97,34.38,32.16,33.46,-3.68,-1.01,18.68,33.0,0.96,0.83,0.14,-0.1,0.24,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,1001.29,0.0,-0.69
2006-08-18,33.17,0.97,34.38,32.2,33.45,-3.53,-0.85,17.95,33.12,0.97,0.83,0.23,-0.03,0.26,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,1002.84,0.0,-0.54
2006-08-21,32.85,0.95,34.38,32.23,33.45,-4.44,-1.78,17.59,33.17,0.97,0.86,0.27,0.03,0.24,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,993.28,0.0,-1.49
2006-08-22,32.86,0.95,34.37,32.25,33.44,-4.4,-1.74,17.57,33.17,0.97,0.86,0.3,0.08,0.22,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,993.54,0.0,-1.46
2006-08-23,32.61,0.94,34.36,32.26,33.43,-5.1,-2.45,17.9,33.17,0.97,0.86,0.3,0.12,0.17,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,986.04,0.0,-2.21
2006-08-24,32.71,0.94,34.36,32.28,33.42,-4.81,-2.15,17.6,33.17,0.97,0.86,0.3,0.16,0.14,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,988.88,0.0,-1.92
2006-08-25,32.77,0.95,34.35,32.3,33.42,-4.61,-1.95,16.24,33.17,0.97,0.86,0.3,0.19,0.12,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,990.69,0.0,-1.74
2006-08-28,33.01,0.96,34.34,32.33,33.41,-3.87,-1.2,16.36,33.17,0.97,0.86,0.32,0.21,0.11,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,998.19,0.0,-1.0
2006-08-29,33.12,0.97,34.34,32.36,33.41,-3.55,-0.88,14.77,33.17,0.97,0.86,0.34,0.24,0.1,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,1001.29,0.0,-0.69
2006-08-30,33.27,0.98,34.33,32.4,33.41,-3.09,-0.42,14.47,33.17,0.97,0.86,0.37,0.27,0.1,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,1005.95,0.0,-0.23
2006-08-31,33.24,0.98,34.32,32.43,33.41,-3.17,-0.52,14.46,33.27,0.98,0.86,0.38,0.29,0.09,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,1000.0,1004.91,0.0,-0.33
2006-09-01,33.42,0.98,34.32,32.47,33.41,-2.63,0.02,14.26,33.27,0.98,0.86,0.4,0.31,0.09,QQQ,Hold QQQ,Buy QQQ,"QQQ recovered above EMA200, broke its prior 20-day high, and volatility is below 30%.",100.0,0.0,0.0,1000.0,1010.34,0.0,0.0
2006-09-05,33.74,1.0,34.31,32.52,33.41,-1.67,0.98,14.01,33.42,0.98,0.86,0.43,0.34,0.1,QQQ,Hold QQQ,No action,Hold QQQ until QLD leverage-entry conditions confirm.,100.0,0.0,0.9724,1009.72,1020.17,0.0,0.0
2006-09-06,33.06,0.96,34.3,32.54,33.41,-3.6,-1.03,16.04,33.74,1.0,0.86,0.4,0.35,0.06,Cash,Hold Cash,Move to Cash,"Risk exit triggered by EMA200, QLD 20-day low, or volatility rule.",0.0,0.0,-2.002,989.51,999.74,-2.0,-2.0
2006-09-07,32.91,0.95,34.29,32.55,33.4,-4.02,-1.47,16.26,33.74,1.0,0.86,0.36,0.35,0.01,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,989.51,995.09,-2.0,-2.46
2006-09-08,33.11,0.96,34.28,32.57,33.4,-3.41,-0.88,16.23,33.74,1.0,0.87,0.34,0.35,-0.01,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,989.51,1001.03,-2.0,-1.88
2006-09-11,33.31,0.98,34.27,32.6,33.4,-2.78,-0.26,15.86,33.74,1.0,0.87,0.34,0.35,-0.01,Cash,Hold Cash,No action,"Hold cash until QQQ trend, breakout, and volatility conditions confirm recovery.",0.0,0.0,0.0,989.51,1007.24,-2.0,-1.27
2006-09-12,33.93,1.02,34.26,32.66,33.4,-0.96,1.57,16.71,33.74,1.0,0.87,0.38,0.36,0.03,QQQ,Hold QQQ,Buy QQQ,"QQQ recovered above EMA200, broke its prior 20-day high, and volatility is below 30%.",100.0,0.0,0.0,989.51,1025.85,-2.0,0.0
